650 without_current 1
-0.189286 0.484182 2.11632	-0.185936 0.484728 1.86814
-0.185936 0.484728 1.86814	-0.180917 0.366595 1.6501
-0.180917 0.366595 1.6501	-0.181457 0.158707 1.51503
-0.181457 0.158707 1.51503	-0.194273 -0.0880378 1.49524
-0.194273 -0.0880378 1.49524	-0.223432 -0.313228 1.5947
-0.223432 -0.313228 1.5947	-0.268783 -0.461729 1.78806
-0.268783 -0.461729 1.78806	-0.325466 -0.497183 2.02704
-0.325466 -0.497183 2.02704	-0.384767 -0.410909 2.25225
-0.384767 -0.410909 2.25225	-0.436168 -0.22403 2.40782
-0.436168 -0.22403 2.40782	-0.470133 0.0176992 2.45508
-0.470133 0.0176992 2.45508	-0.480876 0.255095 2.38198
-0.480876 0.255095 2.38198	-0.468339 0.430035 2.20592
-0.468339 0.430035 2.20592	-0.438752 0.499687 1.96941
-0.438752 0.499687 1.96941	-0.403503 0.446998 1.72952
-0.403503 0.446998 1.72952	-0.376501 0.284869 1.54384
-0.376501 0.284869 1.54384	-0.370643 0.0529938 1.45639
-0.370643 0.0529938 1.45639	-0.394276 -0.191856 1.48689
-0.394276 -0.191856 1.48689	-0.448622 -0.389733 1.62603
-0.448622 -0.389733 1.62603	-0.52692 -0.49219 1.83793
-0.52692 -0.49219 1.83793	-0.615642 -0.474141 2.06907
-0.615642 -0.474141 2.06907	-0.697578 -0.340006 2.26146
-0.697578 -0.340006 2.26146	-0.756104 -0.122626 2.36689
-0.756104 -0.122626 2.36689	-0.779562 0.124777 2.35869
-0.779562 0.124777 2.35869	-0.764608 0.341631 2.23808
-0.764608 0.341631 2.23808	-0.717581 0.474841 2.03372
-0.717581 0.474841 2.03372	-0.653432 0.491794 1.79452
-0.653432 0.491794 1.79452	-0.592344 0.388338 1.57751
-0.592344 0.388338 1.57751	-0.554815 0.189804 1.43383
-0.554815 0.189804 1.43383	-0.556403 -0.0552011 1.39628
-0.556403 -0.0552011 1.39628	-0.603463 -0.286691 1.47142
-0.603463 -0.286691 1.47142	-0.691062 -0.447989 1.63815
-0.691062 -0.447989 1.63815	-0.80368 -0.499603 1.85314
-0.80368 -0.499603 1.85314	-0.918672 -0.428898 2.06157
-0.918672 -0.428898 2.06157	-1.01172 -0.253183 2.21065
-1.01172 -0.253183 2.21065	-1.06295 -0.01548 2.26251
-1.06295 -0.01548 2.26251	-1.06217 0.226013 2.20334
-1.06217 0.226013 2.20334	-1.01193 0.41217 2.04654
-1.01193 0.41217 2.04654	-0.92732 0.497413 1.82916
-0.92732 0.497413 1.82916	-0.832744 0.460873 1.60267
-0.832744 0.460873 1.60267	-0.756052 0.311494 1.42017
-0.756052 0.311494 1.42017	-0.721645 0.0858512 1.32347
-0.721645 0.0858512 1.32347	-0.744174 -0.160811 1.3329
-0.744174 -0.160811 1.3329	-0.824477 -0.368101 1.44264
-0.824477 -0.368101 1.44264	-0.948869 -0.485268 1.62242
-0.948869 -0.485268 1.62242	-1.09207 -0.483623 1.82515
-1.09207 -0.483623 1.82515	-1.22319 -0.363571 1.99865
-1.22319 -0.363571 1.99865	-1.3133 -0.154504 2.09845
-1.3133 -0.154504 2.09845	-1.34276 0.0923909 2.09857
-1.34276 0.0923909 2.09857	-1.30651 0.316665 1.99763
-1.30651 0.316665 1.99763	-1.21573 0.463409 1.81886
-1.21573 0.463409 1.81886	-1.0956 0.496694 1.60417
-1.0956 0.496694 1.60417	-0.979345 0.408371 1.40361
-0.979345 0.408371 1.40361	-0.900199 0.220065 1.26307
-0.900199 0.220065 1.26307	-0.88304 -0.0221213 1.21314
-0.88304 -0.0221213 1.21314	-0.937932 -0.258891 1.26184
-0.937932 -0.258891 1.26184	-1.0572 -0.432276 1.39298
-1.0572 -0.432276 1.39298	-1.21685 -0.499824 1.57047
-1.21685 -0.499824 1.57047	-1.38216 -0.444998 1.74744
-1.38216 -0.444998 1.74744	-1.51605 -0.281221 1.87782
-1.51605 -0.281221 1.87782	-1.5883 -0.048591 1.92756
-1.5883 -0.048591 1.92756	-1.58328 0.195936 1.88278
-1.58328 0.195936 1.88278	-1.50418 0.39249 1.75283
-1.50418 0.39249 1.75283	-1.37269 0.49295 1.56761
-1.37269 0.49295 1.56761	-1.22401 0.472718 1.36993
-1.22401 0.472718 1.36993	-1.0984 0.336748 1.20488
-1.0984 0.336748 1.20488	-1.03126 0.118331 1.10875
-1.03126 0.118331 1.10875	-1.04418 -0.129058 1.10037
-1.04418 -0.129058 1.10037	-1.1393 -0.344849 1.17681
-1.1393 -0.344849 1.17681	-1.29833 -0.476209 1.31452
-1.29833 -0.476209 1.31452	-1.48671 -0.490976 1.47543
-1.48671 -0.490976 1.47543	-1.66181 -0.385535 1.61655
-1.66181 -0.385535 1.61655	-1.78346 -0.185702 1.70051
-1.78346 -0.185702 1.70051	-1.8239 0.0595976 1.70457
-1.8239 0.0595976 1.70457	-1.77497 0.290306 1.6259
-1.77497 0.290306 1.6259	-1.6505 0.449937 1.4818
-1.6505 0.449937 1.4818	-1.48324 0.499408 1.30509
-1.48324 0.499408 1.30509	-1.31715 0.426606 1.13578
-1.31715 0.426606 1.13578	-1.19661 0.249357 1.01115
-1.19661 0.249357 1.01115	-1.15544 0.0110558 0.956725
-1.15544 0.0110558 0.956725	-1.20836 -0.229952 0.980337
-1.20836 -0.229952 0.980337	-1.34695 -0.414659 1.07062
-1.34695 -0.414659 1.07062	-1.54143 -0.497843 1.20025
-1.54143 -0.497843 1.20025	-1.74765 -0.459138 1.33297
-1.74765 -0.459138 1.33297	-1.91782 -0.30802 1.43266
-1.91782 -0.30802 1.43266	-2.01233 -0.081488 1.47213
-2.01233 -0.081488 1.47213	-2.00961 0.164995 1.43952
-2.00961 0.164995 1.43952	-1.91183 0.371082 1.34075
-1.91183 0.371082 1.34075	-1.74465 0.486315 1.19767
-1.74465 0.486315 1.19767	-1.55121 0.482481 1.0422
-1.55121 0.482481 1.0422	-1.38169 0.360519 0.908388
-1.38169 0.360519 0.908388	-1.28101 0.150289 0.823966
-1.28101 0.150289 0.823966	-1.27761 -0.0967367 0.803833
-1.27761 -0.0967367 0.803833	-1.37623 -0.320078 0.846791
-1.37623 -0.320078 0.846791	-1.55641 -0.465053 0.936333
