1000 without_current 1
-0.242683 0.970106 -2.96	-0.338319 0.941031 -2.95
-0.338319 0.941031 -2.95	-0.430575 0.902555 -2.94
-0.430575 0.902555 -2.94	-0.518529 0.85506 -2.93
-0.518529 0.85506 -2.93	-0.601302 0.799021 -2.92
-0.601302 0.799021 -2.92	-0.678068 0.735 -2.91
-0.678068 0.735 -2.91	-0.748058 0.663634 -2.9
-0.748058 0.663634 -2.9	-0.810573 0.585637 -2.89
-0.810573 0.585637 -2.89	-0.86499 0.501789 -2.88
-0.86499 0.501789 -2.88	-0.910764 0.412928 -2.87
-0.910764 0.412928 -2.87	-0.947438 0.31994 -2.86
-0.947438 0.31994 -2.86	-0.974645 0.223756 -2.85
-0.974645 0.223756 -2.85	-0.992114 0.125336 -2.84
-0.992114 0.125336 -2.84	-0.999671 0.0256633 -2.83
-0.999671 0.0256633 -2.83	-0.997239 -0.0742654 -2.82
-0.997239 -0.0742654 -2.82	-0.984842 -0.173452 -2.81
-0.984842 -0.173452 -2.81	-0.962606 -0.270906 -2.8
-0.962606 -0.270906 -2.8	-0.930751 -0.365653 -2.79
-0.930751 -0.365653 -2.79	-0.889597 -0.456746 -2.78
-0.889597 -0.456746 -2.78	-0.839554 -0.543276 -2.77
-0.839554 -0.543276 -2.77	-0.781123 -0.624377 -2.76
-0.781123 -0.624377 -2.76	-0.714887 -0.69924 -2.75
-0.714887 -0.69924 -2.75	-0.641508 -0.767116 -2.74
-0.641508 -0.767116 -2.74	-0.561719 -0.827328 -2.73
-0.561719 -0.827328 -2.73	-0.476318 -0.879273 -2.72
-0.476318 -0.879273 -2.72	-0.386158 -0.922433 -2.71
-0.386158 -0.922433 -2.71	-0.292139 -0.956376 -2.7
-0.292139 -0.956376 -2.7	-0.195201 -0.980763 -2.69
-0.195201 -0.980763 -2.69	-0.0963129 -0.995351 -2.68
-0.0963129 -0.995351 -2.68	0.00353755 -0.999994 -2.67
0.00353755 -0.999994 -2.67	0.103353 -0.994645 -2.66
0.103353 -0.994645 -2.66	0.202135 -0.979358 -2.65
0.202135 -0.979358 -2.65	0.298898 -0.954285 -2.64
0.298898 -0.954285 -2.64	0.392674 -0.919678 -2.63
0.392674 -0.919678 -2.63	0.482527 -0.875881 -2.62
0.482527 -0.875881 -2.62	0.567559 -0.823333 -2.61
0.567559 -0.823333 -2.61	0.646919 -0.762558 -2.6
0.646919 -0.762558 -2.6	0.719816 -0.694165 -2.59
0.719816 -0.694165 -2.59	0.785521 -0.618835 -2.58
0.785521 -0.618835 -2.58	0.843377 -0.537322 -2.57
0.843377 -0.537322 -2.57	0.892806 -0.450441 -2.56
0.892806 -0.450441 -2.56	0.933315 -0.359058 -2.55
0.933315 -0.359058 -2.55	0.964498 -0.264089 -2.54
0.964498 -0.264089 -2.54	0.986045 -0.16648 -2.53
0.986045 -0.16648 -2.53	0.997739 -0.0672081 -2.52
0.997739 -0.0672081 -2.52	0.999464 0.0327354 -2.51
0.999464 0.0327354 -2.51	0.991203 0.132352 -2.5
0.991203 0.132352 -2.5	0.973038 0.230646 -2.49
0.973038 0.230646 -2.49	0.945151 0.326635 -2.48
0.945151 0.326635 -2.48	0.90782 0.419361 -2.47
0.90782 0.419361 -2.47	0.861418 0.507897 -2.46
0.861418 0.507897 -2.46	0.806409 0.591358 -2.45
0.806409 0.591358 -2.45	0.743344 0.66891 -2.44
0.743344 0.66891 -2.44	0.67285 0.739779 -2.43
0.67285 0.739779 -2.43	0.595634 0.803256 -2.42
0.595634 0.803256 -2.42	0.512467 0.858707 -2.41
0.512467 0.858707 -2.41	0.424179 0.905578 -2.4
0.424179 0.905578 -2.4	0.331653 0.943401 -2.39
0.331653 0.943401 -2.39	0.235813 0.971798 -2.38
0.235813 0.971798 -2.38	0.137617 0.990486 -2.37
0.137617 0.990486 -2.37	0.0380459 0.999276 -2.36
0.0380459 0.999276 -2.36	-0.0619053 0.998082 -2.35
-0.0619053 0.998082 -2.35	-0.161238 0.986916 -2.34
-0.161238 0.986916 -2.34	-0.25896 0.965888 -2.33
-0.25896 0.965888 -2.33	-0.354094 0.93521 -2.32
-0.354094 0.93521 -2.32	-0.44569 0.895187 -2.31
-0.44569 0.895187 -2.31	-0.532833 0.84622 -2.3
-0.532833 0.84622 -2.3	-0.614652 0.788798 -2.29
-0.614652 0.788798 -2.29	-0.69033 0.723495 -2.28
-0.69033 0.723495 -2.28	-0.75911 0.650962 -2.27
-0.75911 0.650962 -2.27	-0.820305 0.571926 -2.26
-0.820305 0.571926 -2.26	-0.873305 0.487175 -2.25
-0.873305 0.487175 -2.25	-0.917578 0.397556 -2.24
-0.917578 0.397556 -2.24	-0.952683 0.303965 -2.23
-0.952683 0.303965 -2.23	-0.97827 0.207336 -2.22
-0.97827 0.207336 -2.22	-0.994082 0.108637 -2.21
-0.994082 0.108637 -2.21	-0.999961 0.00885131 -2.2
-0.999961 0.00885131 -2.2	-0.995849 -0.0910224 -2.19
-0.995849 -0.0910224 -2.19	-0.981787 -0.189987 -2.18
-0.981787 -0.189987 -2.18	-0.957915 -0.287053 -2.17
-0.957915 -0.287053 -2.17	-0.924472 -0.38125 -2.16
-0.924472 -0.38125 -2.16	-0.881792 -0.471639 -2.15
-0.881792 -0.471639 -2.15	-0.830301 -0.557315 -2.14
-0.830301 -0.557315 -2.14	-0.770514 -0.637423 -2.13
-0.770514 -0.637423 -2.13	-0.703029 -0.711161 -2.12
-0.703029 -0.711161 -2.12	-0.628519 -0.777794 -2.11
-0.628519 -0.777794 -2.11	-0.547729 -0.836656 -2.1
-0.547729 -0.836656 -2.1	-0.461467 -0.887158 -2.09
-0.461467 -0.887158 -2.09	-0.370593 -0.928795 -2.08
-0.370593 -0.928795 -2.08	-0.276017 -0.961153 -2.07
-0.276017 -0.961153 -2.07	-0.178683 -0.983907 -2.06
-0.178683 -0.983907 -2.06	-0.0795636 -0.99683 -2.05
-0.0795636 -0.99683 -2.05	0.0203508 -0.999793 -2.04
0.0203508 -0.999793 -2.04	0.120062 -0.992766 -2.03
0.120062 -0.992766 -2.03	0.218573 -0.975821 -2.02
0.218573 -0.975821 -2.02	0.314901 -0.949125 -2.01
0.314901 -0.949125 -2.01	0.408082 -0.912945 -2
0.408082 -0.912945 -2	0.497186 -0.867644 -1.99
0.497186 -0.867644 -1.99	0.581322 -0.813674 -1.98
0.581322 -0.813674 -1.98	0.659649 -0.751573 -1.97
0.659649 -0.751573 -1.97	0.731386 -0.681964 -1.96
0.731386 -0.681964 -1.96	0.795815 -0.60554 -1.95
0.795815 -0.60554 -1.95	0.852292 -0.523066 -1.94
0.852292 -0.523066 -1.94	0.900254 -0.435365 -1.93
0.900254 -0.435365 -1.93	0.93922 -0.343315 -1.92
0.93922 -0.343315 -1.92	0.968802 -0.247834 -1.91
0.968802 -0.247834 -1.91	0.988705 -0.149877 -1.9
0.988705 -0.149877 -1.9	0.998728 -0.0504227 -1.89
0.998728 -0.0504227 -1.89	0.998772 0.0495356 -1.88
0.998772 0.0495356 -1.88	0.988837 0.148999 -1.87
0.988837 0.148999 -1.87	0.969022 0.246974 -1.86
0.969022 0.246974 -1.86	0.939525 0.342481 -1.85
0.939525 0.342481 -1.85	0.90064 0.434566 -1.84
